ID,LABEL,SubClass Of,SubProperty Of,IRI,Type
CHEBI:39144,Lewis base,disposition,,http://purl.obolibrary.org/obo/CHEBI_39144,Class
CHEBI:40574,acetyl group,group,,http://purl.obolibrary.org/obo/CHEBI_40574,Class
CHEBI:42485,formyl group,group,,http://purl.obolibrary.org/obo/CHEBI_42485,Class
CHEBI:43176,hydroxy group,group,,http://purl.obolibrary.org/obo/CHEBI_43176,Class
CHEBI:46883,carboxy group,organic group,,http://purl.obolibrary.org/obo/CHEBI_46883,Class
CHEBI:48818,,,,http://purl.obolibrary.org/obo/CHEBI_48818,Class
CHEBI:48819,cyano group,pseudohalo groups,,http://purl.obolibrary.org/obo/CHEBI_48819,Class
CHEBI:51100,sulfonyl groups,group,,http://purl.obolibrary.org/obo/CHEBI_51100,Class
CHEBI:51142,amino groups,nitrogen group,,http://purl.obolibrary.org/obo/CHEBI_51142,Class
CHEBI:51144,nitrogen group,group,,http://purl.obolibrary.org/obo/CHEBI_51144,Class
CHEBI:51870,boryl group,"group, inorganic group",,http://purl.obolibrary.org/obo/CHEBI_51870,Class
CHEBI:52214,ligand,polyatomic entity,,http://purl.obolibrary.org/obo/CHEBI_52214,Class
CHEBI:52845,cyclic organic group,group,,http://purl.obolibrary.org/obo/CHEBI_52845,Class
CHEBI:53310,co-polymer,macromolecule,,http://purl.obolibrary.org/obo/CHEBI_53310,Class
CHEBI:53511,block copolymer,co-polymer,,http://purl.obolibrary.org/obo/CHEBI_53511,Class
CHEBI:53512,diblock copolymer,block copolymer,,http://purl.obolibrary.org/obo/CHEBI_53512,Class
CHEBI:53513,triblock copolymer,block copolymer,,http://purl.obolibrary.org/obo/CHEBI_53513,Class
CHEBI:53516,statistical copolymer,co-polymer,,http://purl.obolibrary.org/obo/CHEBI_53516,Class
CHEBI:53517,alternating copolymer,co-polymer,,http://purl.obolibrary.org/obo/CHEBI_53517,Class
CHEBI:53518,graft polymer,macromolecule,,http://purl.obolibrary.org/obo/CHEBI_53518,Class
CHEBI:53519,graft copolymer,co-polymer,,http://purl.obolibrary.org/obo/CHEBI_53519,Class
CHEBI:53520,periodic copolymer,co-polymer,,http://purl.obolibrary.org/obo/CHEBI_53520,Class
CHEBI:53521,random copolymer,co-polymer,,http://purl.obolibrary.org/obo/CHEBI_53521,Class
CHEBI:53522,tactic polymer,macromolecule,,http://purl.obolibrary.org/obo/CHEBI_53522,Class
CHEBI:73474,acetylenic compound,polyatomic entity,,http://purl.obolibrary.org/obo/CHEBI_73474,Class
GO:0070206,protein trimerization,trimerization,,http://purl.obolibrary.org/obo/GO_0070206,Class
IAO:0000030,information content entity,,,http://purl.obolibrary.org/obo/IAO_0000030,Class
IAO:0000115,definition,,,http://purl.obolibrary.org/obo/IAO_0000115,Annotation property
IAO:0000231,terms merged,,,http://purl.obolibrary.org/obo/IAO_0000231,Annotation property
IAO:0000412,imported from,,,http://purl.obolibrary.org/obo/IAO_0000412,Annotation property
IAO:0100001,term replaced by,,,http://purl.obolibrary.org/obo/IAO_0100001,Annotation property
MOP:0000000,borylation,"formation of covalent bond with boron centre, has_participant some 'boryl group'",,http://purl.obolibrary.org/obo/MOP_0000000,Class
MOP:0000001,methanidylation,formation of covalent bond with carbon centre,,http://purl.obolibrary.org/obo/MOP_0000001,Class
MOP:0000002,azaniumylation,formation of covalent bond with nitrogen centre,,http://purl.obolibrary.org/obo/MOP_0000002,Class
MOP:0000003,formylation,"has_participant some 'formyl group', univalent carboacylation",,http://purl.obolibrary.org/obo/MOP_0000003,Class
MOP:0000004,acetonylation,formation of covalent bond with carbon centre,,http://purl.obolibrary.org/obo/MOP_0000004,Class
MOP:0000005,L-cystylation,cystylation,,http://purl.obolibrary.org/obo/MOP_0000005,Class
MOP:0000006,L-cystinylation,cystinylation,,http://purl.obolibrary.org/obo/MOP_0000006,Class
MOP:0000007,D-cystylation,cystylation,,http://purl.obolibrary.org/obo/MOP_0000007,Class
MOP:0000008,cystinylation,alpha-aminoacylation,,http://purl.obolibrary.org/obo/MOP_0000008,Class
MOP:0000009,cystylation,divalent carboacylation,,http://purl.obolibrary.org/obo/MOP_0000009,Class
MOP:0000010,cysteinylation,alpha-aminoacylation,,http://purl.obolibrary.org/obo/MOP_0000010,Class
MOP:0000011,L-cysteinylation,cysteinylation,,http://purl.obolibrary.org/obo/MOP_0000011,Class
MOP:0000012,D-cysteinylation,cysteinylation,,http://purl.obolibrary.org/obo/MOP_0000012,Class
MOP:0000013,cystein-S-ylation,formation of covalent bond with sulfur centre,,http://purl.obolibrary.org/obo/MOP_0000013,Class
MOP:0000014,D-cystein-S-ylation,cystein-S-ylation,,http://purl.obolibrary.org/obo/MOP_0000014,Class
MOP:0000015,L-cystein-S-ylation,cystein-S-ylation,,http://purl.obolibrary.org/obo/MOP_0000015,Class
MOP:0000016,methionylation,alpha-aminoacylation,,http://purl.obolibrary.org/obo/MOP_0000016,Class
MOP:0000017,L-methionylation,methionylation,,http://purl.obolibrary.org/obo/MOP_0000017,Class
MOP:0000018,N-formyl-L-methionylation,formation of covalent bond with carbon centre,,http://purl.obolibrary.org/obo/MOP_0000018,Class
MOP:0000019,D-methionylation,methionylation,,http://purl.obolibrary.org/obo/MOP_0000019,Class
MOP:0000020,(R)-lipoylation,lipoylation,,http://purl.obolibrary.org/obo/MOP_0000020,Class
MOP:0000021,(S)-lipoylation,lipoylation,,http://purl.obolibrary.org/obo/MOP_0000021,Class
MOP:0000022,lipoylation,univalent carboacylation,,http://purl.obolibrary.org/obo/MOP_0000022,Class
MOP:0000023,(R)-dihydrolipoylation,dihydrolipoylation,,http://purl.obolibrary.org/obo/MOP_0000023,Class
MOP:0000024,(S)-dihydrolipoylation,dihydrolipoylation,,http://purl.obolibrary.org/obo/MOP_0000024,Class
MOP:0000025,alpha-sialoylation,univalent carboacylation,,http://purl.obolibrary.org/obo/MOP_0000025,Class
MOP:0000026,beta-sialoylation,univalent carboacylation,,http://purl.obolibrary.org/obo/MOP_0000026,Class
MOP:0000027,glyceroylation,formation of covalent bond with carbon centre,,http://purl.obolibrary.org/obo/MOP_0000027,Class
MOP:0000028,carboacylation,"acylation, formation of covalent bond with carbon centre, has_participant some 'carboacyl group'",,http://purl.obolibrary.org/obo/MOP_0000028,Class
MOP:0000029,univalent carboacylation,carboacylation,,http://purl.obolibrary.org/obo/MOP_0000029,Class
MOP:0000030,acetylation,univalent carboacylation,,http://purl.obolibrary.org/obo/MOP_0000030,Class
MOP:0000031,alpha-aminoacylation,univalent carboacylation,,http://purl.obolibrary.org/obo/MOP_0000031,Class
MOP:0000032,alanylation,alpha-aminoacylation,,http://purl.obolibrary.org/obo/MOP_0000032,Class
MOP:0000033,L-alanylation,alanylation,,http://purl.obolibrary.org/obo/MOP_0000033,Class
MOP:0000034,D-alanylation,alanylation,,http://purl.obolibrary.org/obo/MOP_0000034,Class
MOP:0000035,alpha-aspartylation,alpha-aminoacylation,,http://purl.obolibrary.org/obo/MOP_0000035,Class
MOP:0000036,L-alpha-aspartylation,alpha-aspartylation,,http://purl.obolibrary.org/obo/MOP_0000036,Class
MOP:0000037,D-alpha-aspartylation,alpha-aspartylation,,http://purl.obolibrary.org/obo/MOP_0000037,Class
MOP:0000038,alpha-glutamylation,alpha-aminoacylation,,http://purl.obolibrary.org/obo/MOP_0000038,Class
MOP:0000039,L-alpha-glutamylation,alpha-glutamylation,,http://purl.obolibrary.org/obo/MOP_0000039,Class
MOP:0000040,D-alpha-glutamylation,alpha-glutamylation,,http://purl.obolibrary.org/obo/MOP_0000040,Class
MOP:0000041,pteroylglutamylation,alpha-aminoacylation,,http://purl.obolibrary.org/obo/MOP_0000041,Class
MOP:0000042,phenylalanylation,alpha-aminoacylation,,http://purl.obolibrary.org/obo/MOP_0000042,Class
MOP:0000043,L-phenylalanylation,phenylalanylation,,http://purl.obolibrary.org/obo/MOP_0000043,Class
MOP:0000044,D-phenylalanylation,phenylalanylation,,http://purl.obolibrary.org/obo/MOP_0000044,Class
MOP:0000045,glycylation,alpha-aminoacylation,,http://purl.obolibrary.org/obo/MOP_0000045,Class
MOP:0000046,histidylation,alpha-aminoacylation,,http://purl.obolibrary.org/obo/MOP_0000046,Class
MOP:0000047,L-histidylation,histidylation,,http://purl.obolibrary.org/obo/MOP_0000047,Class
MOP:0000048,D-histidylation,histidylation,,http://purl.obolibrary.org/obo/MOP_0000048,Class
MOP:0000049,isoleucylation,alpha-aminoacylation,,http://purl.obolibrary.org/obo/MOP_0000049,Class
MOP:0000050,L-isoleucylation,isoleucylation,,http://purl.obolibrary.org/obo/MOP_0000050,Class
MOP:0000051,D-isoleucylation,isoleucylation,,http://purl.obolibrary.org/obo/MOP_0000051,Class
MOP:0000052,lysylation,alpha-aminoacylation,,http://purl.obolibrary.org/obo/MOP_0000052,Class
MOP:0000053,L-lysylation,lysylation,,http://purl.obolibrary.org/obo/MOP_0000053,Class
MOP:0000054,deoxyhypusinylation,formation of covalent bond with carbon centre,,http://purl.obolibrary.org/obo/MOP_0000054,Class
MOP:0000055,D-lysylation,lysylation,,http://purl.obolibrary.org/obo/MOP_0000055,Class
MOP:0000056,leucylation,alpha-aminoacylation,,http://purl.obolibrary.org/obo/MOP_0000056,Class
MOP:0000057,L-leucylation,leucylation,,http://purl.obolibrary.org/obo/MOP_0000057,Class
MOP:0000058,D-leucylation,leucylation,,http://purl.obolibrary.org/obo/MOP_0000058,Class
MOP:0000059,asparaginylation,alpha-aminoacylation,,http://purl.obolibrary.org/obo/MOP_0000059,Class
MOP:0000060,L-asparaginylation,asparaginylation,,http://purl.obolibrary.org/obo/MOP_0000060,Class
MOP:0000061,D-asparaginylation,asparaginylation,,http://purl.obolibrary.org/obo/MOP_0000061,Class
MOP:0000062,prolylation,alpha-aminoacylation,,http://purl.obolibrary.org/obo/MOP_0000062,Class
MOP:0000063,L-prolylation,prolylation,,http://purl.obolibrary.org/obo/MOP_0000063,Class
MOP:0000064,D-prolylation,prolylation,,http://purl.obolibrary.org/obo/MOP_0000064,Class
MOP:0000065,glutaminylation,alpha-aminoacylation,,http://purl.obolibrary.org/obo/MOP_0000065,Class
MOP:0000066,L-glutaminylation,glutaminylation,,http://purl.obolibrary.org/obo/MOP_0000066,Class
MOP:0000067,D-glutaminylation,glutaminylation,,http://purl.obolibrary.org/obo/MOP_0000067,Class
MOP:0000068,serylation,alpha-aminoacylation,,http://purl.obolibrary.org/obo/MOP_0000068,Class
MOP:0000069,L-serylation,serylation,,http://purl.obolibrary.org/obo/MOP_0000069,Class
MOP:0000070,D-serylation,serylation,,http://purl.obolibrary.org/obo/MOP_0000070,Class
MOP:0000071,threonylation,alpha-aminoacylation,,http://purl.obolibrary.org/obo/MOP_0000071,Class
MOP:0000072,L-threonylation,threonylation,,http://purl.obolibrary.org/obo/MOP_0000072,Class
MOP:0000073,D-threonylation,threonylation,,http://purl.obolibrary.org/obo/MOP_0000073,Class
MOP:0000074,selenocysteinylation,alpha-aminoacylation,,http://purl.obolibrary.org/obo/MOP_0000074,Class
MOP:0000075,L-selenocysteinylation,selenocysteinylation,,http://purl.obolibrary.org/obo/MOP_0000075,Class
MOP:0000076,D-selenocysteinylation,selenocysteinylation,,http://purl.obolibrary.org/obo/MOP_0000076,Class
MOP:0000077,valylation,alpha-aminoacylation,,http://purl.obolibrary.org/obo/MOP_0000077,Class
MOP:0000078,L-valylation,valylation,,http://purl.obolibrary.org/obo/MOP_0000078,Class
MOP:0000079,D-valylation,valylation,,http://purl.obolibrary.org/obo/MOP_0000079,Class
MOP:0000080,tryptophylation,alpha-aminoacylation,,http://purl.obolibrary.org/obo/MOP_0000080,Class
MOP:0000081,L-tryptophylation,tryptophylation,,http://purl.obolibrary.org/obo/MOP_0000081,Class
MOP:0000082,D-tryptophylation,tryptophylation,,http://purl.obolibrary.org/obo/MOP_0000082,Class
MOP:0000083,tyrosylation,alpha-aminoacylation,,http://purl.obolibrary.org/obo/MOP_0000083,Class
MOP:0000084,L-tyrosylation,tyrosylation,,http://purl.obolibrary.org/obo/MOP_0000084,Class
MOP:0000085,D-tyrosylation,tyrosylation,,http://purl.obolibrary.org/obo/MOP_0000085,Class
MOP:0000086,arginylation,alpha-aminoacylation,,http://purl.obolibrary.org/obo/MOP_0000086,Class
MOP:0000087,L-arginylation,arginylation,,http://purl.obolibrary.org/obo/MOP_0000087,Class
MOP:0000088,D-arginylation,arginylation,,http://purl.obolibrary.org/obo/MOP_0000088,Class
MOP:0000089,benzoylation,univalent carboacylation,,http://purl.obolibrary.org/obo/MOP_0000089,Class
MOP:0000090,beta-aspartylation,univalent carboacylation,,http://purl.obolibrary.org/obo/MOP_0000090,Class
MOP:0000091,D-beta-aspartylation,beta-aspartylation,,http://purl.obolibrary.org/obo/MOP_0000091,Class
MOP:0000092,L-beta-aspartylation,beta-aspartylation,,http://purl.obolibrary.org/obo/MOP_0000092,Class
MOP:0000093,biotinylation,univalent carboacylation,,http://purl.obolibrary.org/obo/MOP_0000093,Class
MOP:0000094,butyrylation,univalent carboacylation,,http://purl.obolibrary.org/obo/MOP_0000094,Class
MOP:0000095,carbamoylation,univalent carboacylation,,http://purl.obolibrary.org/obo/MOP_0000095,Class
MOP:0000096,C-aminocarbonohydrazonoylation,organoheterylation,,http://purl.obolibrary.org/obo/MOP_0000096,Class
MOP:0000097,2-(aminomethylidene)hydrazinylation,organoheterylation,,http://purl.obolibrary.org/obo/MOP_0000097,Class
MOP:0000098,carbamoylcarbamoylation,organoheterylation,,http://purl.obolibrary.org/obo/MOP_0000098,Class
MOP:0000099,carbamothioylation,organoheterylation,,http://purl.obolibrary.org/obo/MOP_0000099,Class
MOP:0000100,acetylazanediylation,formation of covalent bond with nitrogen centre,,http://purl.obolibrary.org/obo/MOP_0000100,Class
MOP:0000101,oxamoylation,organoheterylation,,http://purl.obolibrary.org/obo/MOP_0000101,Class
MOP:0000102,cholylation,univalent carboacylation,,http://purl.obolibrary.org/obo/MOP_0000102,Class
MOP:0000103,enoylation,univalent carboacylation,,http://purl.obolibrary.org/obo/MOP_0000103,Class
MOP:0000104,fatty-acylation,univalent carboacylation,,http://purl.obolibrary.org/obo/MOP_0000104,Class
MOP:0000105,arachidonoylation,fatty-acylation,,http://purl.obolibrary.org/obo/MOP_0000105,Class
MOP:0000106,arachidoylation,fatty-acylation,,http://purl.obolibrary.org/obo/MOP_0000106,Class
MOP:0000107,behenoylation,fatty-acylation,,http://purl.obolibrary.org/obo/MOP_0000107,Class
MOP:0000108,cerotoylation,fatty-acylation,,http://purl.obolibrary.org/obo/MOP_0000108,Class
MOP:0000109,decanoylation,fatty-acylation,,http://purl.obolibrary.org/obo/MOP_0000109,Class
MOP:0000110,dodecenoylation,fatty-acylation,,http://purl.obolibrary.org/obo/MOP_0000110,Class
MOP:0000111,eleostearoylation,fatty-acylation,,http://purl.obolibrary.org/obo/MOP_0000111,Class
MOP:0000112,mycolylation,fatty-acylation,,http://purl.obolibrary.org/obo/MOP_0000112,Class
MOP:0000113,nervonoylation,fatty-acylation,,http://purl.obolibrary.org/obo/MOP_0000113,Class
MOP:0000114,octanoylation,fatty-acylation,,http://purl.obolibrary.org/obo/MOP_0000114,Class
MOP:0000115,palmitoleoylation,fatty-acylation,,http://purl.obolibrary.org/obo/MOP_0000115,Class
MOP:0000116,palmitoylation,fatty-acylation,,http://purl.obolibrary.org/obo/MOP_0000116,Class
MOP:0000117,stearoylation,fatty-acylation,,http://purl.obolibrary.org/obo/MOP_0000117,Class
MOP:0000118,undecanoylation,fatty-acylation,,http://purl.obolibrary.org/obo/MOP_0000118,Class
MOP:0000119,valerylation,fatty-acylation,,http://purl.obolibrary.org/obo/MOP_0000119,Class
MOP:0000120,hexanoylation,fatty-acylation,,http://purl.obolibrary.org/obo/MOP_0000120,Class
MOP:0000121,heptanoylation,fatty-acylation,,http://purl.obolibrary.org/obo/MOP_0000121,Class
MOP:0000122,nonanoylation,fatty-acylation,,http://purl.obolibrary.org/obo/MOP_0000122,Class
MOP:0000123,lauroylation,fatty-acylation,,http://purl.obolibrary.org/obo/MOP_0000123,Class
MOP:0000124,myristoylation,fatty-acylation,,http://purl.obolibrary.org/obo/MOP_0000124,Class
MOP:0000125,docosenoylation,fatty-acylation,,http://purl.obolibrary.org/obo/MOP_0000125,Class
MOP:0000126,cetoleoylation,docosenoylation,,http://purl.obolibrary.org/obo/MOP_0000126,Class
MOP:0000127,erucoylation,docosenoylation,,http://purl.obolibrary.org/obo/MOP_0000127,Class
MOP:0000128,icosenoylation,fatty-acylation,,http://purl.obolibrary.org/obo/MOP_0000128,Class
MOP:0000129,gadelaidoylation,icosenoylation,,http://purl.obolibrary.org/obo/MOP_0000129,Class
MOP:0000130,gadoleoylation,icosenoylation,,http://purl.obolibrary.org/obo/MOP_0000130,Class
MOP:0000131,gondoylation,icosenoylation,,http://purl.obolibrary.org/obo/MOP_0000131,Class
MOP:0000132,heptatrienoylation,fatty-acylation,,http://purl.obolibrary.org/obo/MOP_0000132,Class
MOP:0000133,"trans,trans-hepta-2,4,6-trienoylation",heptatrienoylation,,http://purl.obolibrary.org/obo/MOP_0000133,Class
MOP:0000134,octadecenoylation,fatty-acylation,,http://purl.obolibrary.org/obo/MOP_0000134,Class
MOP:0000135,octadec-6-enoylation,octadecenoylation,,http://purl.obolibrary.org/obo/MOP_0000135,Class
MOP:0000136,petroselaidoylation,octadec-6-enoylation,,http://purl.obolibrary.org/obo/MOP_0000136,Class
MOP:0000137,petroselinoylation,octadec-6-enoylation,,http://purl.obolibrary.org/obo/MOP_0000137,Class
MOP:0000138,vaccenoylation,octadecenoylation,,http://purl.obolibrary.org/obo/MOP_0000138,Class
MOP:0000139,cis-vaccenoylation,vaccenoylation,,http://purl.obolibrary.org/obo/MOP_0000139,Class
MOP:0000140,trans-vaccenoylation,vaccenoylation,,http://purl.obolibrary.org/obo/MOP_0000140,Class
MOP:0000141,octadec-9-enoylation,octadecenoylation,,http://purl.obolibrary.org/obo/MOP_0000141,Class
MOP:0000142,oleoylation,octadec-9-enoylation,,http://purl.obolibrary.org/obo/MOP_0000142,Class
MOP:0000143,elaidoylation,octadec-9-enoylation,,http://purl.obolibrary.org/obo/MOP_0000143,Class
MOP:0000144,margaroylation,fatty-acylation,,http://purl.obolibrary.org/obo/MOP_0000144,Class
MOP:0000145,melissoylation,fatty-acylation,,http://purl.obolibrary.org/obo/MOP_0000145,Class
MOP:0000146,myristoleoylation,fatty-acylation,,http://purl.obolibrary.org/obo/MOP_0000146,Class
MOP:0000147,obtusiloylation,fatty-acylation,,http://purl.obolibrary.org/obo/MOP_0000147,Class
MOP:0000148,lignoceroylation,fatty-acylation,,http://purl.obolibrary.org/obo/MOP_0000148,Class
MOP:0000149,linoleoylation,fatty-acylation,,http://purl.obolibrary.org/obo/MOP_0000149,Class
MOP:0000150,parinaroylation,fatty-acylation,,http://purl.obolibrary.org/obo/MOP_0000150,Class
MOP:0000151,cis-parinaroylation,parinaroylation,,http://purl.obolibrary.org/obo/MOP_0000151,Class
MOP:0000152,trans-parinaroylation,parinaroylation,,http://purl.obolibrary.org/obo/MOP_0000152,Class
MOP:0000153,gamma-glutamylation,univalent carboacylation,,http://purl.obolibrary.org/obo/MOP_0000153,Class
MOP:0000154,L-gamma-glutamylation,gamma-glutamylation,,http://purl.obolibrary.org/obo/MOP_0000154,Class
MOP:0000155,D-gamma-glutamylation,gamma-glutamylation,,http://purl.obolibrary.org/obo/MOP_0000155,Class
MOP:0000156,glucuronosylation,univalent carboacylation,,http://purl.obolibrary.org/obo/MOP_0000156,Class
MOP:0000157,D-glucuronoylation,univalent carboacylation,,http://purl.obolibrary.org/obo/MOP_0000157,Class
MOP:0000158,"glyceroyl 2,3-dihydroxypropanoylation",univalent carboacylation,,http://purl.obolibrary.org/obo/MOP_0000158,Class
MOP:0000159,glycerylation,univalent carboacylation,,http://purl.obolibrary.org/obo/MOP_0000159,Class
MOP:0000160,"glycidoyl 2,3-epoxypropanoylation",univalent carboacylation,,http://purl.obolibrary.org/obo/MOP_0000160,Class
MOP:0000161,glycoloylation,univalent carboacylation,,http://purl.obolibrary.org/obo/MOP_0000161,Class
MOP:0000162,glycosylation,univalent carboacylation,,http://purl.obolibrary.org/obo/MOP_0000162,Class
MOP:0000163,galactosylation,glycosylation,,http://purl.obolibrary.org/obo/MOP_0000163,Class
MOP:0000164,beta-D-galactosylation,galactosylation,,http://purl.obolibrary.org/obo/MOP_0000164,Class
MOP:0000165,"alpha-L-fucosyl-1,2-beta-D-galactosylation",beta-D-galactosylation,,http://purl.obolibrary.org/obo/MOP_0000165,Class
MOP:0000166,"alpha-N-acetylneuraminyl-2,3-beta-D-galactosylation",beta-D-galactosylation,,http://purl.obolibrary.org/obo/MOP_0000166,Class
MOP:0000167,"alpha-N-acetylneuraminyl-2,8-alpha-N-acetylneuraminyl-2,3-beta-D-galactosylation",beta-D-galactosylation,,http://purl.obolibrary.org/obo/MOP_0000167,Class
MOP:0000168,,,,http://purl.obolibrary.org/obo/MOP_0000168,Class
MOP:0000169,glucosylation,glycosylation,,http://purl.obolibrary.org/obo/MOP_0000169,Class
MOP:0000170,"D-galactosyl-1,3-beta-D-galactosyl-1,4-beta-D-glucosylation",glycosylation,,http://purl.obolibrary.org/obo/MOP_0000170,Class
MOP:0000171,"D-galactosyl-1,4beta-D-glucosylation",glycosylation,,http://purl.obolibrary.org/obo/MOP_0000171,Class
MOP:0000172,,,,http://purl.obolibrary.org/obo/MOP_0000172,Class
MOP:0000173,alpha-glucosylation,glucosylation,,http://purl.obolibrary.org/obo/MOP_0000173,Class
MOP:0000174,beta-glucosylation,glucosylation,,http://purl.obolibrary.org/obo/MOP_0000174,Class
MOP:0000175,D-galactosyl-(1->4)-beta-D-glucosylation,glucosylation,,http://purl.obolibrary.org/obo/MOP_0000175,Class
MOP:0000176,glycosaminylation,glycosylation,,http://purl.obolibrary.org/obo/MOP_0000176,Class
MOP:0000177,galactosaminylation,glycosaminylation,,http://purl.obolibrary.org/obo/MOP_0000177,Class
MOP:0000178,N-acetyl-D-galactosaminylation,galactosaminylation,,http://purl.obolibrary.org/obo/MOP_0000178,Class
